Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Home_suite,Chrome 126.0.0.0,,,28-06-2024 19:07:10,28-06-2024 19:08:03,53.095s,PASSED
,,,,,,,
Test Cases/web/Home Module/TC06 Verify user can logout,Chrome 126.0.0.0,,,28-06-2024 19:07:10,28-06-2024 19:07:26,15.844s,PASSED
"LOGINPAGEHEADING = FileOperations.getValueFromJsonFile(LOGIN_TESTDATA, ""PageHeading"")",Chrome 126.0.0.0,,,28-06-2024 19:07:11,28-06-2024 19:07:11,0.127s,PASSED
web.BasePage.webSetUp(),Chrome 126.0.0.0,,,28-06-2024 19:07:11,28-06-2024 19:07:15,4.091s,PASSED
"web.LoginPage.userLogin(webUseremail, webUserPassword)",Chrome 126.0.0.0,,,28-06-2024 19:07:15,28-06-2024 19:07:22,7.285s,PASSED
pageHeading = web.HomePage.userLogout(),Chrome 126.0.0.0,,,28-06-2024 19:07:22,28-06-2024 19:07:25,2.607s,PASSED
"Assert.assertEquals(pageHeading, LOGINPAGEHEADING)",Chrome 126.0.0.0,,,28-06-2024 19:07:25,28-06-2024 19:07:25,0.021s,PASSED
web.BasePage.quitDriver(),Chrome 126.0.0.0,,,28-06-2024 19:07:25,28-06-2024 19:07:26,1.394s,PASSED
,,,,,,,
Test Cases/web/Home Module/TC07 Validate navigation of each menu bar option on Home Page,Chrome 126.0.0.0,,,28-06-2024 19:07:26,28-06-2024 19:07:49,22.831s,PASSED
"NAVIGATIONTEXTLIST = FileOperations.getJsonArray(HOME_TESTDATA, ""NavigatedTextList"")",Chrome 126.0.0.0,,,28-06-2024 19:07:26,28-06-2024 19:07:27,0.044s,PASSED
web.BasePage.webSetUp(),Chrome 126.0.0.0,,,28-06-2024 19:07:27,28-06-2024 19:07:30,3.075s,PASSED
"web.LoginPage.userLogin(webUseremail, webUserPassword)",Chrome 126.0.0.0,,,28-06-2024 19:07:30,28-06-2024 19:07:36,6.663s,PASSED
pageTexts = web.HomePage.navigateAndGetText(),Chrome 126.0.0.0,,,28-06-2024 19:07:36,28-06-2024 19:07:48,12.203s,PASSED
"Assert.assertEquals(pageTexts, NAVIGATIONTEXTLIST)",Chrome 126.0.0.0,,,28-06-2024 19:07:48,28-06-2024 19:07:48,0.012s,PASSED
web.BasePage.quitDriver(),Chrome 126.0.0.0,,,28-06-2024 19:07:48,28-06-2024 19:07:49,0.534s,PASSED
,,,,,,,
Test Cases/web/Home Module/TC08 Validate Request leave popup on Home page,Chrome 126.0.0.0,,,28-06-2024 19:07:49,28-06-2024 19:08:03,14.196s,PASSED
"EXPECTEDPOPUPHEADING = FileOperations.getValueFromJsonFile(HOME_TESTDATA, ""LeavePopupHeading"")",Chrome 126.0.0.0,,,28-06-2024 19:07:49,28-06-2024 19:07:49,0.005s,PASSED
"POPUPLABELS = FileOperations.getJsonArray(HOME_TESTDATA, ""LeavePopupLabels"")",Chrome 126.0.0.0,,,28-06-2024 19:07:49,28-06-2024 19:07:49,0.004s,PASSED
web.BasePage.webSetUp(),Chrome 126.0.0.0,,,28-06-2024 19:07:49,28-06-2024 19:07:52,3.168s,PASSED
"web.LoginPage.userLogin(webUseremail, webUserPassword)",Chrome 126.0.0.0,,,28-06-2024 19:07:52,28-06-2024 19:07:59,6.566s,PASSED
popupHeading = web.HomePage.clickOnHomePageItem(REQUESTTIMEOFF),Chrome 126.0.0.0,,,28-06-2024 19:07:59,28-06-2024 19:08:00,1.148s,PASSED
"Assert.assertEquals(popupHeading, EXPECTEDPOPUPHEADING)",Chrome 126.0.0.0,,,28-06-2024 19:08:00,28-06-2024 19:08:00,0.002s,PASSED
actualLabels = web.HomePage.getListOfHomePageItems(REQUESTTIMEOFF),Chrome 126.0.0.0,,,28-06-2024 19:08:00,28-06-2024 19:08:01,0.516s,PASSED
"Assert.assertEquals(actualLabels, POPUPLABELS)",Chrome 126.0.0.0,,,28-06-2024 19:08:01,28-06-2024 19:08:01,0.003s,PASSED
isPopupFiledAndBtn = web.HomePage.isHomePageElementVisible(REQUESTTIMEOFF),Chrome 126.0.0.0,,,28-06-2024 19:08:01,28-06-2024 19:08:03,2.146s,PASSED
"Assert.assertTrue(isPopupFiledAndBtn, ""All popup fileds and buttons are not visible."")",Chrome 126.0.0.0,,,28-06-2024 19:08:03,28-06-2024 19:08:03,0.003s,PASSED
web.BasePage.quitDriver(),Chrome 126.0.0.0,,,28-06-2024 19:08:03,28-06-2024 19:08:03,0.424s,PASSED
